L1,L2,L3,L4,R1,R2,R3,R4
14429.2,10287.3,23494.2,10678.3,14958.7,12692.3,16874.4,6850.3
14360.8,10244.3,23435.4,10676.4,15114.2,12816.7,16754.8,6786.7
14307.6,10220.3,23402.3,10665.4,15179.2,12940.5,16700.6,6759.6
14307.6,10220.3,23402.3,10665.4,15179.2,12940.5,16700.6,6759.6
14207.3,10171.6,23370.3,10712.6,15399.4,13097.7,16614.8,6672.2
14170.6,10159.2,23369.5,10727.8,15454.6,13159,16532.9,6639.1
14170.6,10159.2,23369.5,10727.8,15454.6,13159,16532.9,6639.1
14156.1,10152.6,23324.8,10728.7,15487.3,13198.3,16482.1,6627.2
14092.5,10122.3,23310.4,10734.3,15505.7,13220.5,16461.7,6635.3
14092.5,10122.3,23310.4,10734.3,15505.7,13220.5,16461.7,6635.3
14026.7,10099.4,23338.7,10780.1,15505.7,13190.7,16493.2,6644.1
13816.4,10042.2,23499,11014.9,15422.1,13106.2,16520.9,6654
13816.4,10042.2,23499,11014.9,15422.1,13106.2,16520.9,6654
13665.9,9996.4,23562.6,11158.2,15373.6,13057.5,16582.1,6686.3
13665.9,9996.4,23562.6,11158.2,15373.6,13057.5,16582.1,6686.3
13327,9873.7,23650.2,11435.4,15264.6,12921.3,16789.9,6819.1
13163.7,9812.8,23676.4,11549.9,15119.2,12847.3,16913.6,6905.6
13013.2,9755.3,23697.5,11653,15020.9,12669.4,17047.7,6997
13013.2,9755.3,23697.5,11653,15020.9,12669.4,17047.7,6997
12663.6,9628.6,23798.1,11916,14786.5,12428,17339,7189.3
12495.2,9565.1,23951,12058.3,14637.7,12288.1,17493.7,7289.6
12327.9,9498.5,24028.1,12202.4,14477.4,12154.5,17675.5,7400.8
12159.1,9431.1,24118.2,12350.2,14320.2,12030.8,17880.2,7536.1
12006.4,9370,24209.4,12504.6,14181,11924.6,18045.7,7739.5
11874.2,9275.7,24284.9,12652.9,14057.4,11759.7,18176.3,7826.6
11748.5,9229.5,24346.7,12789.6,13946.5,11694.9,18304.8,7915.7
11620.6,9185.2,24413.3,12903,13836.7,11630.5,18436.4,8006.6
11508.2,9151.3,24463.1,13003.4,13729.3,11567.3,18560.5,8084.3
11403.1,9118.8,24509.9,13111.2,13541.8,11507.2,18662.7,8141.2
11301.8,9085.8,24568.4,13226.7,13444.1,11450.3,18789.2,8181.2
11200.8,9060.3,24638.8,13340.9,13350,11390.1,18839.5,8208.5
11114.9,9034.7,24717.8,13454.5,13260.4,11250.4,18875.7,8230.5
11034.9,9006.2,24809.4,13571.9,13158.5,11173.9,18919.7,8250.9
10948.1,8973.9,25041.9,13868,13047.8,11101.3,18960.9,8274.7
10856.9,8953.2,25151.4,14001.3,12944.6,11036.5,18968.5,8278.1
10811.1,8947.5,25255.8,14100.6,12854.9,10985.7,18968.5,8277.7
10811.1,8947.5,25255.8,14100.6,12854.9,10985.7,18968.5,8277.7
10795.6,8951.9,25435.3,14244.9,12713.1,10906.4,18928.3,8243.4
10811,8965.1,25502.7,14292.6,12654.5,10852.5,18882.2,8210.7
10840.2,8986.6,25559.2,14320.7,12553.1,10835.7,18827.3,8172.1
10884.4,9010.8,25601.2,14350.3,12520.6,10828.3,18785,8141.2
10914.6,9031.7,25629,14367.9,12501.1,10827.9,18757.4,8107.2
10937.1,9075.9,25641.6,14367.9,12485.6,10827.9,18728.6,8092.1
10966.4,9106.7,25641.6,14361.6,12474.6,10832.5,18699,8075.1
11014.2,9146.1,25639.8,14334,12474.6,10843.9,18659.9,8048.8
11085.5,9193.9,25595.6,14279,12479.6,10865.7,18601.9,8009.2
11085.5,9193.9,25595.6,14279,12479.6,10865.7,18601.9,8009.2
11189.8,9251.1,25545.4,14187.4,12511.2,10968.3,18538,7963.5
11331.1,9318.8,25472,14053.9,12580.7,11068.4,18439,7893.5
11856.6,9452.6,25254.6,13713.5,12797.1,11277.5,18116.9,7779.6
12015.4,9511.7,25137.9,13530.3,13009.4,11369,18027,7730.1
12015.4,9511.7,25137.9,13530.3,13009.4,11369,18027,7730.1
12269.6,9595.6,24885.2,13188.2,13217.7,11551.7,17882.5,7648.4
12269.6,9595.6,24885.2,13188.2,13217.7,11551.7,17882.5,7648.4
12269.6,9595.6,24885.2,13188.2,13217.7,11551.7,17882.5,7648.4
12599.6,9676,24498.8,12664.5,13550.9,11909.7,17585.9,7485.8
12709,9702.7,24373.3,12488.2,13667.2,12004.1,17444.7,7396.1
12709,9702.7,24373.3,12488.2,13667.2,12004.1,17444.7,7396.1
12817.4,9728.8,24237.3,12309.9,13782.4,12099,17298.1,7296.3
13062.9,9792.5,23863.8,11948.3,14016.5,12289.1,16986.9,6973.2
13062.9,9792.5,23863.8,11948.3,14016.5,12289.1,16986.9,6973.2
13185.8,9863.8,23776.7,11787.4,14105.5,12383.9,16826.8,6866.3
13324.9,9885.7,23702.6,11526.8,14164.3,12378.2,16584.2,6706.9
13324.9,9885.7,23702.6,11526.8,14164.3,12378.2,16584.2,6706.9
13324.9,9879.3,23702.6,11526.8,14140.1,12358.6,16495.7,6658.6
13289.1,9845.1,23739.1,11573.7,14045.7,12304.1,16417.3,6589.2
13289.1,9845.1,23739.1,11573.7,14045.7,12304.1,16417.3,6589.2
13237.6,9822.2,23793.2,11650.2,13981.7,12265.1,16369,6553.3
13179.1,9798.4,23856.5,11743.2,13910,12156.4,16341.7,6532.6
13114.7,9775.2,23941.1,11847.9,13815.4,12071,16341.7,6520.1
13063.3,9761.2,24052.8,11976.2,13697.8,11967.2,16325.8,6510.9
13026.9,9758,24326.9,12120.2,13570.5,11859.5,16312.7,6480.9
12977.8,9759,24467.9,12280.9,13437.8,11748.5,16321.4,6466.9
12916.1,9759.9,24617.2,12447.4,13292.4,11634.5,16354.8,6472.2
12845.9,9757.2,24769.2,12617.5,12973.6,11507.2,16412.3,6494.9
12767.9,9744.3,24904.4,12785.9,12813.6,11266.5,16502.5,6539.1
12678.7,9722.7,25020.3,12946.3,12663.2,11157.6,16603.1,6599
12584.2,9698.5,25116.4,13090,12523.9,11054.6,16706.8,6659.3
12499.6,9677.1,25189.2,13203.3,12388.8,10956.5,16811,6786.7
12445.1,9667.3,25243.1,13281.3,12266.4,10876.6,16896.4,6825.3
12445.1,9683.3,25288.3,13317.2,12162.9,10817.6,16932.5,6825.3
12460.2,9723.5,25326.5,13325.6,12081.2,10773.4,16932.5,6823.2
12503.1,9759.1,25353.3,13346.1,12017.1,10716,16915.7,6805
12527,9791.7,25361,13371.6,11977.4,10716,16903.8,6798
12556.9,9822.3,25323.9,13368.7,11966.9,10721.8,16908.8,6797.1
12606.4,9860.2,25290.3,13335.1,11984,10743.9,16909.8,6787.8
12681.8,9900.4,25257.7,13289.7,12021,10775.9,16879.3,6751.6
12754.7,9929.5,25220.3,13239.9,12080.2,10819.5,16741.2,6705.2
12808.3,9950.5,25191.2,13197.9,12157.5,10883.2,16729.5,6694
12824.9,9957.8,25169.1,13170.3,12243,11038.2,16744.5,6712.7
12815.8,9954.9,25154.5,13162.6,12335.3,11124.7,16751.4,6740.4
12795.9,9950.8,25152.7,13162.6,12435,11221.3,16729.5,6751.3
12770.1,9949.3,25154.1,13173.6,12533.1,11313.7,16690.4,6744.5
12733.3,9949.3,25168.6,13299.9,12626.5,11398.5,16645.5,6727.3
12669.6,9945.8,25194.3,13414.9,12694.6,11444.9,16595.7,6708.2
12597.6,9943.1,25258,13588.7,12702,11446,16540.5,6645.2
12519,9944.4,25508.9,13818.9,12702,11439.6,16510.9,6631.1
12414.5,9896.9,25581.8,14049.3,12703.5,11455.8,16514.6,6663.2
12090.9,9875.5,25624.3,14243.6,12737.6,11477.7,16567.6,6704.8
12090.9,9875.5,25624.3,14243.6,12737.6,11477.7,16567.6,6704.8
11896.2,9862.6,25681.2,14489.7,12832.6,11559.5,16632.8,6758.8
11846.8,9864,25681.2,14561.8,12883.4,11609.3,16623.2,6768.5
11846.8,9864,25681.2,14561.8,12883.4,11609.3,16623.2,6768.5
11642.4,9825.1,25650.9,14722.9,12925.7,11635.7,16627.4,6819
11529.7,9807.6,25613.9,14780.5,12925.4,11632,16701.1,6888.1
11529.7,9807.6,25613.9,14780.5,12925.4,11632,16701.1,6888.1
11376.1,9777.9,25491.8,14813.3,12920.8,11592.4,16944.5,7018.9
11311.3,9763,25449.3,14852.8,12895.9,11560,17045.9,7084.1
11311.3,9763,25449.3,14852.8,12895.9,11560,17045.9,7084.1
11252.4,9750.2,25420.6,14893.5,12822,11529.3,17147.5,7159.3
11207.9,9752.6,25314.2,14929,12815.5,11536.8,17248.5,7242.1
11207.9,9752.6,25314.2,14929,12815.5,11536.8,17248.5,7242.1
11207.3,9759.5,25218,14914.9,12878.8,11576.4,17281,7255.4
11156.7,9745.8,25123.2,14838.1,12983.3,11601.6,17308.2,7284.6
11156.7,9745.8,25123.2,14838.1,12983.3,11601.6,17308.2,7284.6
11128.2,9728.7,25123.2,14838.1,12999.2,11604.7,17303.6,7272.1
11106.6,9713.7,25147.1,14843.9,12999.2,11595.2,17284,7250.2
11084.2,9684.6,25208.8,14894.4,12990.6,11565.3,17251.9,7220.7
11043.2,9668.3,25295.9,14985.2,12954.5,11472.9,17221.2,7189
10955.9,9655.1,25399.2,15119,12910.4,11429.9,17195.2,7155.4
