L1,L2,L3,L4,R1,R2,R3,R4
10750.4,11679.8,15201.9,17246.8,9911.1,16781.4,16244.3,10631.3
10753.7,11687.4,15209.2,17253.8,9879.7,16737.3,16270.4,10629.2
10760.8,11690.5,15222.6,17274.9,9856.2,16684.8,16292.7,10626.3
10754.6,11684.5,15240.6,17310.9,9831.9,16632.9,16321,10624.4
10711.5,11674.4,15266.7,17360,9804.6,16584,16390.3,10620.9
10678.6,11659.8,15338.1,17422.5,9777.5,16537.5,16432.9,10620.5
10633.1,11638.4,15377.7,17487.5,9747.6,16487.2,16481.8,10626.6
10581.6,11607.6,15415.4,17555,9714.1,16385.8,16536.3,10642
10526.3,11572.3,15444.6,17620.5,9682.8,16350.4,16602.4,10663.1
10486.9,11509.5,15453.9,17661.2,9663.2,16331,16655.7,10687
10469.5,11499.5,15437.6,17665.7,9652.3,16334.7,16694.8,10715.6
10469,11501.3,15409,17640.2,9656.3,16350.2,16718.7,10745
10470.5,11505.5,15362.9,17593.2,9665.4,16380.9,16740.3,10771.7
10470.5,11505.5,15362.9,17593.2,9665.4,16380.9,16740.3,10771.7
10494,11528,15248.7,17457.6,9706.2,16453.6,16786.6,10830.1
10518.3,11542.7,15201.4,17387.2,9711.4,16461.5,16805.8,10855.6
10518.3,11542.7,15201.4,17387.2,9711.4,16461.5,16805.8,10855.6
10530.6,11537.8,15150.4,17310.1,9716.5,16478.1,16850.2,10893.7
10512,11524.7,15139.2,17309.7,9724.5,16497.5,16861.4,10909.9
10512,11524.7,15139.2,17309.7,9724.5,16497.5,16861.4,10909.9
10514.4,11526.8,15079.3,17280,9748.5,16546.3,16859,10936.6
10537.4,11540.2,15034.4,17232.7,9764.5,16631.5,16856.7,10943.6
10537.4,11540.2,15034.4,17232.7,9764.5,16631.5,16856.7,10943.6
10572.4,11563.6,14977.7,17170,9788.7,16688.2,16853.3,10943.6
10690.6,11644,14870.6,17002.5,9884.6,16770.8,16737.7,10931.8
10755.1,11693.9,14850.3,16893.1,9903,16783.1,16678.7,10909.5
10755.1,11693.9,14850.3,16893.1,9903,16783.1,16678.7,10909.5
10826.2,11779.3,14858.5,16901.6,9903.9,16772.8,16577.1,10837.2
10826.2,11779.3,14858.5,16901.6,9903.9,16772.8,16577.1,10837.2
10839.3,11787.3,14895.3,16949.5,9892.4,16721.4,16545.7,10802.5
10842.5,11803.3,14940.8,16995.5,9884.7,16700.8,16499,10761.1
10860.8,11829.7,15000.7,17021.6,9878.7,16687.7,16442.3,10715.6
10890,11855.1,15028,17048.4,9873.7,16678.9,16386.6,10672.3
10914.3,11874.1,15056.1,17079.5,9870,16671.2,16331.7,10632.1
10932.9,11890,15084.8,17112.8,9867.6,16666.8,16278.4,10594.1
10946.1,11897.7,15116.2,17147.6,9864.9,16657.8,16232.7,10559.1
10946.1,11897.7,15151.2,17184.7,9843,16610.7,16200.2,10528.2
10944.3,11893.9,15198.6,17241.8,9829.6,16579.9,16174.2,10497.7
10934.5,11886.6,15250.4,17305.3,9817.1,16548.9,16149.1,10467
10931.4,11885.4,15291,17354,9806.8,16526.7,16128.9,10416.4
10951.8,11896.9,15323.1,17384.7,9801.7,16522.4,16081.8,10384.2
10951.8,11896.9,15323.1,17384.7,9801.7,16522.4,16081.8,10384.2
10967.3,11912.6,15323.1,17384.7,9802.4,16525.5,16057.2,10372.9
10993.3,11933.7,15293,17370,9807.4,16580.5,16003.8,10367.1
11019.6,11952.7,15260.5,17339.1,9822.7,16632.8,15972.6,10370.5
11044.6,11968.5,15219.5,17288,9849.6,16688.4,15935.4,10372.9
11066.6,11981,15186,17233.8,9879.7,16733.6,15899.6,10374.8
11084.6,11988.1,15174.6,17192.2,9903.6,16766.1,15871.9,10376.2
11085.1,11974.3,15181.3,17186.2,9930.1,16793.1,15848.8,10374.8
11063.7,11959,15194.7,17212,9934.8,16812.1,15830,10372.2
11032.6,11946.3,15211.6,17248.2,9936.8,16836.3,15811.9,10368.9
11006.1,11940,15223.4,17279.5,9941,16858.8,15792.5,10365
10993.4,11944.9,15224.6,17294.1,9950.8,16890.9,15768.2,10359.8
11021.4,11962.1,15211.6,17287.5,9963.7,16918.7,15738.6,10354.7
